name,MET_Value
Running,8.3
Walking,3.5
Cycling,7.5
Swimming,6.0
Yoga,2.5
Jump Rope,10.0
Hiking,6.0
Rowing,7.0
Jogging,7.0
Sprinting,12.0
Stationary Bike,6.8
Mountain Biking,8.5
Spin Class,8.5
Elliptical Trainer,5.0
Stair Climbing,8.8
Rock Climbing,8.0
Jumping Jacks,8.0
Burpees,8.0
Push-Ups,3.8
Pull-Ups,8.0
Sit-Ups,3.8
Plank,3.0
Weight Lifting Light,3.5
Weight Lifting Vigorous,6.0
CrossFit,8.0
Kickboxing,10.0
Boxing Sparring,9.0
Martial Arts,10.3
Pilates,3.0
Zumba,6.5
Basketball,8.0
Soccer,10.0
Football,8.0
Tennis Singles,8.0
Volleyball,4.0
Golf Walking,4.8
Bowling,3.0
Skiing Downhill,6.0
Ice Skating,7.0
Kayaking,5.0
Gardening,4.0
Mowing Lawn,5.5
Stretching,2.3
